JobType   ArrivalTime    ProcessingTime      
A         8734           1                   
B         8736           7                   
D         8737           14                  
A         8740           5                   
B         8742           6                   
C         8743           11                  
A         8745           1                   
D         8746           20                  
B         8748           3                   
A         8751           5                   
D         8752           18                  
C         8752           12                  
B         8755           2                   
A         8755           3                   
D         8756           8                   
A         8759           3                   
B         8762           4                   
A         8763           3                   
C         8765           6                   
D         8769           4                   
A         8769           5                   
B         8769           5                   
A         8775           2                   
B         8775           7                   
C         8779           9                   
A         8780           1                   
D         8782           9                   
B         8782           2                   
A         8786           3                   
D         8789           11                  
A         8790           1                   
B         8790           4                   
B         8796           4                   
C         8796           7                   
A         8796           2                   
D         8800           4                   
A         8801           2                   
B         8802           8                   
A         8806           5                   
D         8810           13                  
B         8810           3                   
C         8810           8                   
A         8810           1                   
A         8815           5                   
B         8816           4                   
A         8819           1                   
D         8821           5                   
C         8821           9                   
B         8823           2                   
A         8824           4                   
A         8828           4                   
C         8828           10                  
D         8830           12                  
B         8830           3                   
A         8833           4                   
D         8834           16                  
B         8836           3                   
C         8837           11                  
A         8839           2                   
D         8842           7                   
B         8842           3                   
A         8845           3                   
D         8846           20                  
C         8846           12                  
A         8849           5                   
B         8849           4                   
D         8852           7                   
A         8855           4                   
B         8855           3                   
C         8859           7                   
A         8860           3                   
B         8861           3                   
D         8865           12                  
A         8866           3                   
B         8867           5                   
A         8871           2                   
D         8875           5                   
C         8875           12                  
B         8875           3                   
A         8876           1                   
C         8879           8                   
A         8882           2                   
B         8882           7                   
D         8886           16                  
A         8887           4                   
B         8889           8                   
C         8889           6                   
D         8891           20                  
A         8891           5                   
C         8895           7                   
A         8896           2                   
B         8897           8                   
D         8901           17                  
A         8902           3                   
B         8903           6                   
D         8905           9                   
C         8906           7                   
A         8906           3                   
D         8909           13                  
A         8910           1                   
B         8911           7                   
A         8916           2                   
D         8917           18                  
C         8919           12                  
B         8919           2                   
A         8920           2                   
B         8925           8                   
A         8926           5                   
D         8928           19                  
A         8932           5                   
B         8933           7                   
D         8935           20                  
C         8935           12                  
A         8937           1                   
B         8941           8                   
A         8943           4                   
D         8947           9                   
B         8948           2                   
A         8949           1                   
C         8950           7                   
A         8954           1                   
B         8956           3                   
C         8957           11                  
D         8958           9                   
A         8960           2                   
C         8962           12                  
D         8963           10                  
B         8963           3                   
A         8965           3                   
A         8971           4                   
B         8971           5                   
D         8977           19                  
A         8977           4                   
B         8977           5                   
C         8979           12                  
D         8981           3                   
A         8982           5                   
B         8983           8                   
A         8986           3                   
D         8989           17                  
A         8990           3                   
B         8990           4                   
C         8995           7                   
A         8995           4                   
B         8996           6                   
A         9001           1                   
D         9002           9                   
B         9003           5                   
A         9007           5                   
C         9007           6                   
D         9010           16                  
A         9011           1                   
B         9011           5                   
A         9016           1                   
C         9017           12                  
B         9017           7                   
D         9018           22                  
A         9022           2                   
D         9024           6                   
C         9025           9                   
B         9025           8                   
A         9026           4                   
D         9029           9                   
A         9032           3                   
B         9032           2                   
C         9032           11                  
A         9036           5                   
D         9037           16                  
B         9040           5                   
A         9041           5                   
D         9042           13                  
C         9046           12                  
A         9046           1                   
B         9048           4                   
D         9049           21                  
A         9051           5                   
A         9055           5                   
B         9056           5                   
C         9056           11                  
D         9058           12                  
A         9060           4                   
C         9061           12                  
B         9062           4                   
D         9064           17                  
A         9064           1                   
A         9068           4                   
B         9068           2                   
C         9070           9                   
A         9072           1                   
D         9074           22                  
B         9074           8                   
A         9077           2                   
A         9081           4                   
C         9082           6                   
B         9082           5                   
D         9084           5                   
A         9086           4                   
B         9088           4                   
A         9090           4                   
C         9092           10                  
D         9094           19                  
A         9094           4                   
B         9095           5                   
A         9098           4                   
C         9101           12                  
A         9102           4                   
B         9102           6                   
C         9105           10                  
D         9106           18                  
A         9106           4                   
B         9109           5                   
A         9110           3                   
D         9112           9                   
A         9115           4                   
D         9117           7                   
B         9117           4                   
A         9119           3                   
C         9122           7                   
A         9124           3                   
B         9125           5                   
D         9126           13                  
C         9127           10                  
A         9128           3                   
B         9132           2                   
A         9134           1                   
D         9136           4                   
C         9136           10                  
A         9138           3                   
B         9138           5                   
D         9140           15                  
A         9144           5                   
B         9144           6                   
D         9147           3                   
A         9148           1                   
C         9150           7                   
B         9150           5                   
A         9154           4                   
B         9158           2                   
D         9159           11                  
C         9159           12                  
A         9159           5                   
D         9164           5                   
A         9164           2                   
B         9166           3                   
A         9169           3                   
D         9170           19                  
A         9173           3                   
B         9174           8                   
C         9177           11                  
A         9177           5                   
A         9181           4                   
B         9182           5                   
D         9184           7                   
A         9187           5                   
C         9188           7                   
B         9188           8                   
A         9192           1                   
C         9193           11                  
D         9195           22                  
B         9195           5                   
A         9196           3                   
A         9202           1                   
B         9203           3                   
C         9205           12                  
D         9208           13                  
A         9208           2                   
B         9209           8                   
A         9214           5                   
B         9215           4                   
D         9218           2                   
A         9218           2                   
C         9220           9                   
B         9223           2                   
A         9224           3                   
A         9230           5                   
D         9231           3                   
B         9231           5                   
A         9235           4                   
C         9237           8                   
D         9238           14                  
B         9238           8                   
A         9239           1                   
A         9244           3                   
B         9246           3                   
D         9247           16                  
A         9249           4                   
C         9254           10                  
B         9254           4                   
A         9255           1                   
D         9259           6                   
A         9260           5                   
B         9260           4                   
C         9260           12                  
A         9264           3                   
D         9266           19                  
C         9266           12                  
B         9268           6                   
A         9270           4                   
D         9271           15                  
B         9275           6                   
C         9275           9                   
A         9276           1                   
A         9281           1                   
B         9281           8                   
D         9282           13                  
C         9284           8                   
A         9286           5                   
B         9287           7                   
D         9289           18                  
A         9291           4                   
C         9294           12                  
B         9295           6                   
A         9297           2                   
A         9301           4                   
B         9301           4                   
D         9302           21                  
C         9304           6                   
A         9306           1                   
D         9307           16                  
B         9307           2                   
A         9310           5                   
D         9312           14                  
C         9312           8                   
A         9314           3                   
B         9314           6                   
A         9320           4                   
D         9321           2                   
B         9321           8                   
A         9325           4                   
B         9328           3                   
C         9329           12                  
A         9329           4                   
A         9334           4                   
B         9334           4                   
D         9335           16                  
C         9337           9                   
A         9340           1                   
C         9341           9                   
B         9341           7                   
A         9346           2                   
B         9347           5                   
D         9349           15                  
C         9349           9                   
A         9350           5                   
A         9354           5                   
D         9355           17                  
B         9355           2                   
A         9358           1                   
C         9361           9                   
A         9363           5                   
B         9363           8                   
D         9365           20                  
C         9366           9                   
A         9369           5                   
B         9371           2                   
A         9374           2                   
D         9376           5                   
A         9379           5                   
B         9379           3                   
C         9380           12                  
A         9385           5                   
B         9385           4                   
D         9387           12                  
A         9391           3                   
B         9391           5                   
D         9393           3                   
A         9395           5                   
C         9396           6                   
B         9398           6                   
A         9401           1                   
D         9402           9                   
B         9404           2                   
C         9404           11                  
A         9406           4                   
B         9411           6                   
A         9412           1                   
C         9414           7                   
D         9415           12                  
B         9417           7                   
A         9418           2                   
A         9422           4                   
C         9422           11                  
B         9424           3                   
A         9426           3                   
D         9429           4                   
B         9432           3                   
A         9432           1                   
C         9436           8                   
A         9438           5                   
D         9440           15                  
B         9440           2                   
A         9442           5                   
C         9443           6                   
A         9447           5                   
B         9448           2                   
D         9450           10                  
A         9453           3                   
B         9455           3                   
C         9458           12                  
A         9458           5                   
D         9460           8                   
B         9461           5                   
A         9464           4                   
C         9465           8                   
B         9467           8                   
A         9468           2                   
D         9471           5                   
B         9473           7                   
A         9473           5                   
A         9477           2                   
B         9479           7                   
C         9480           10                  
A         9481           1                   
D         9485           5                   
C         9485           6                   
A         9485           3                   
B         9486           2                   
A         9490           1                   
B         9493           3                   
D         9494           9                   
A         9495           3                   
B         9499           8                   
A         9499           2                   
C         9502           10                  
A         9504           2                   
B         9505           8                   
D         9507           20                  
A         9510           2                   
B         9511           8                   
A         9515           1                   
D         9519           17                  
A         9519           2                   
B         9519           5                   
C         9520           8                   
A         9523           2                   
B         9526           2                   
D         9528           21                  
C         9528           12                  
A         9528           3                   
A         9533           1                   
B         9533           7                   
A         9537           3                   
D         9538           9                   
B         9541           3                   
A         9541           1                   
D         9542           6                   
C         9544           12                  
A         9546           1                   
B         9547           4                   
A         9552           5                   
D         9553           7                   
B         9555           7                   
A         9558           5                   
B         9561           5                   
C         9562           7                   
A         9562           3                   
D         9565           6                   
A         9566           4                   
B         9568           3                   
A         9570           2                   
D         9573           13                  
A         9574           5                   
B         9575           8                   
A         9578           2                   
C         9580           8                   
D         9582           17                  
B         9582           7                   
A         9583           5                   
A         9587           2                   
B         9589           8                   
C         9590           7                   
A         9591           3                   
D         9595           2                   
A         9597           3                   
B         9597           6                   
D         9601           4                   
A         9601           1                   
C         9604           12                  
B         9605           7                   
A         9605           2                   
D         9608           11                  
A         9610           1                   
B         9611           3                   
C         9612           11                  
A         9615           5                   
D         9616           9                   
C         9618           10                  
B         9618           7                   
A         9621           5                   
C         9623           8                   
A         9625           1                   
B         9625           6                   
D         9629           6                   
A         9629           2                   
B         9633           5                   
C         9634           7                   
A         9634           2                   
D         9636           14                  
A         9638           3                   
B         9641           5                   
D         9643           16                  
A         9644           4                   
C         9648           8                   
B         9648           6                   
A         9650           1                   
D         9651           4                   
A         9655           1                   
B         9656           3                   
D         9658           17                  
A         9660           3                   
C         9662           6                   
B         9664           8                   
A         9665           3                   
A         9669           2                   
B         9671           4                   
D         9672           3                   
C         9673           8                   
A         9675           2                   
B         9678           8                   
A         9680           1                   
A         9684           3                   
B         9684           6                   
D         9686           6                   
C         9688           11                  
A         9689           2                   
B         9690           2                   
A         9694           3                   
C         9694           12                  
D         9696           14                  
B         9697           8                   
A         9699           3                   
C         9702           10                  
A         9704           1                   
B         9704           3                   
D         9705           17                  
C         9706           8                   
A         9708           4                   
B         9712           8                   
A         9713           3                   
D         9718           10                  
A         9719           3                   
B         9719           8                   
C         9720           11                  
D         9723           18                  
A         9724           4                   
B         9725           3                   
D         9729           18                  
A         9729           3                   
C         9732           6                   
A         9733           5                   
B         9733           4                   
A         9738           5                   
B         9739           5                   
D         9741           22                  
C         9741           7                   
A         9743           1                   
B         9745           4                   
D         9748           20                  
C         9749           7                   
A         9749           1                   
B         9752           2                   
D         9753           8                   
A         9754           4                   
C         9756           6                   
A         9759           3                   
B         9760           8                   
C         9760           7                   
A         9763           5                   
D         9764           3                   
B         9766           3                   
A         9767           2                   
C         9770           11                  
D         9773           17                  
A         9773           4                   
B         9774           5                   
A         9779           1                   
C         9782           6                   
B         9782           5                   
A         9785           4                   
D         9786           9                   
B         9789           3                   
A         9789           1                   
A         9795           3                   
D         9796           18                  
B         9796           7                   
C         9798           7                   
A         9801           4                   
C         9803           12                  
B         9804           8                   
A         9806           4                   
D         9810           16                  
B         9810           5                   
C         9811           9                   
A         9811           4                   
B         9816           8                   
A         9817           5                   
B         9822           6                   
A         9823           4                   
D         9824           12                  
C         9824           10                  
A         9827           4                   
B         9830           5                   
D         9831           22                  
A         9831           3                   
C         9835           10                  
B         9837           3                   
A         9837           4                   
D         9839           15                  
A         9843           5                   
B         9844           3                   
C         9844           8                   
D         9845           4                   
A         9848           3                   
B         9851           5                   
A         9853           3                   
D         9854           9                   
C         9854           10                  
A         9858           3                   
B         9859           6                   
A         9864           2                   
D         9867           6                   
B         9867           4                   
A         9868           2                   
C         9872           11                  
D         9873           19                  
A         9873           4                   
B         9873           8                   
A         9877           1                   
D         9878           12                  
C         9880           8                   
B         9880           5                   
A         9882           3                   
C         9884           8                   
D         9885           14                  
A         9886           1                   
B         9887           6                   
A         9890           4                   
D         9891           11                  
C         9891           11                  
A         9894           3                   
B         9895           8                   
D         9896           9                   
A         9899           1                   
B         9902           2                   
A         9904           1                   
C         9904           9                   
D         9906           12                  
A         9909           1                   
B         9909           8                   
D         9911           4                   
A         9913           4                   
C         9913           10                  
B         9916           5                   
A         9918           4                   
C         9918           8                   
D         9921           14                  
B         9922           3                   
A         9923           1                   
C         9924           8                   
B         9928           7                   
A         9928           1                   
B         9934           8                   
A         9934           5                   
D         9935           16                  
A         9939           3                   
B         9941           4                   
C         9942           8                   
A         9943           1                   
D         9945           21                  
B         9948           3                   
A         9948           2                   
A         9953           2                   
B         9956           2                   
D         9958           12                  
A         9959           2                   
C         9960           8                   
B         9962           6                   
D         9964           5                   
A         9965           5                   
B         9970           6                   
A         9970           2                   
D         9972           17                  
A         9975           2                   
D         9976           18                  
C         9976           12                  
B         9978           3                   
A         9980           4                   
C         9982           6                   
D         9984           5                   
A         9986           4                   
B         9986           5                   
A         9991           4                   
B         9993           4                   
D         9995           10                  
A         9995           2                   
C         9999           7                   
A         9999           5                   
D         10000          13                  
B         10000          2                   
A         10003          4                   
D         10004          22                  
A         10007          5                   
B         10007          7                   
A         10011          4                   
C         10013          12                  
B         10013          8                   
D         10016          19                  
A         10016          2                   
B         10019          7                   
A         10020          5                   
C         10021          10                  
D         10024          3                   
B         10025          8                   
C         10025          8                   
A         10026          3                   
A         10031          3                   
C         10031          8                   
B         10032          4                   
A         10035          5                   
D         10036          6                   
A         10039          4                   
B         10040          7                   
C         10041          12                  
D         10045          13                  
A         10045          1                   
B         10046          4                   
D         10050          21                  
A         10051          4                   
B         10052          4                   
C         10052          6                   
A         10057          1                   
B         10059          5                   
A         10061          5                   
C         10062          7                   
D         10064          18                  
A         10066          3                   
B         10067          3                   
A         10072          5                   
B         10073          2                   
C         10074          6                   
A         10077          4                   
D         10078          19                  
B         10079          7                   
A         10082          2                   
B         10086          5                   
C         10087          8                   
A         10087          4                   
D         10089          2                   
A         10091          3                   
B         10094          4                   
A         10095          1                   
C         10095          7                   
A         10100          3                   
C         10102          8                   
B         10102          6                   
D         10103          17                  
A         10105          3                   
B         10109          8                   
A         10111          4                   
D         10116          2                   
C         10116          8                   
A         10116          1                   
B         10117          7                   
A         10122          5                   
B         10123          6                   
C         10123          7                   
D         10127          4                   
A         10127          1                   
C         10130          7                   
B         10131          7                   
A         10133          4                   
A         10137          2                   
B         10137          4                   
D         10141          6                   
A         10141          3                   
C         10142          10                  
B         10144          4                   
A         10147          5                   
D         10148          13                  
A         10151          2                   
B         10152          6                   
D         10153          12                  
C         10155          8                   
A         10155          5                   
B         10159          5                   
A         10160          5                   
D         10161          14                  
A         10165          4                   
B         10165          6                   
C         10166          6                   
A         10169          5                   
C         10171          7                   
B         10173          6                   
A         10173          3                   
D         10174          16                  
A         10177          5                   
D         10179          15                  
B         10180          5                   
A         10181          3                   
C         10182          6                   
D         10183          3                   
A         10187          2                   
B         10187          7                   
D         10190          22                  
A         10193          3                   
B         10194          7                   
A         10198          5                   
C         10198          8                   
B         10200          8                   
D         10203          13                  
A         10204          1                   
B         10208          5                   
A         10210          2                   
D         10213          3                   
C         10213          12                  
A         10214          1                   
B         10214          2                   
A         10218          5                   
B         10221          5                   
A         10222          5                   
C         10225          11                  
D         10227          12                  
B         10227          4                   
A         10228          1                   
A         10234          2                   
B         10234          4                   
D         10236          20                  
A         10238          4                   
D         10240          3                   
C         10240          10                  
B         10241          2                   
A         10242          4                   
A         10246          2                   
B         10249          4                   
C         10250          7                   
A         10251          2                   
D         10252          8                   
B         10256          2                   
A         10257          1                   
A         10262          4                   
B         10263          3                   
C         10265          6                   
D         10266          21                  
A         10266          1                   
C         10270          6                   
B         10271          3                   
A         10272          2                   
A         10276          5                   
B         10277          7                   
D         10278          7                   
A         10280          3                   
C         10282          7                   
B         10283          4                   
D         10285          4                   
A         10285          2                   
C         10289          12                  
A         10291          2                   
B         10291          5                   
D         10293          6                   
A         10295          1                   
B         10297          7                   
A         10299          5                   
C         10299          12                  
D         10300          15                  
A         10304          1                   
C         10305          11                  
B         10305          7                   
D         10306          8                   
A         10310          2                   
B         10311          4                   
C         10312          11                  
A         10315          1                   
C         10317          12                  
B         10319          6                   
D         10320          12                  
A         10321          1                   
C         10321          8                   
B         10326          3                   
A         10327          4                   
D         10328          12                  
C         10331          9                   
A         10333          1                   
B         10334          6                   
A         10337          4                   
D         10340          11                  
B         10340          5                   
C         10341          7                   
A         10343          2                   
C         10345          9                   
B         10347          7                   
A         10349          5                   
C         10351          10                  
D         10353          9                   
A         10353          2                   
B         10354          5                   
C         10356          7                   
D         10357          14                  
A         10357          3                   
B         10360          6                   
D         10362          19                  
A         10363          3                   
A         10367          5                   
B         10367          8                   
C         10369          7                   
A         10371          4                   
D         10373          22                  
B         10373          4                   
A         10377          4                   
C         10377          12                  
D         10378          17                  
B         10379          6                   
C         10381          11                  
A         10383          4                   
B         10385          8                   
C         10385          6                   
A         10387          2                   
D         10388          14                  
B         10391          4                   
A         10391          3                   
A         10397          2                   
D         10399          21                  
B         10399          5                   
A         10402          3                   
D         10403          20                  
C         10403          11                  
D         10407          16                  
A         10407          5                   
B         10407          5                   
D         10411          20                  
A         10412          2                   
B         10414          2                   
D         10417          9                   
A         10417          4                   
C         10418          7                   
D         10422          15                  
A         10422          5                   
B         10422          5                   
C         10424          8                   
A         10426          4                   
B         10428          8                   
A         10431          1                   
D         10433          18                  
B         10434          7                   
A         10436          4                   
C         10436          10                  
A         10440          4                   
B         10442          6                   
A         10444          3                   
D         10445          18                  
B         10449          7                   
A         10449          1                   
C         10452          7                   
A         10455          4                   
B         10455          4                   
D         10456          19                  
A         10460          1                   
B         10461          4                   
A         10464          5                   
B         10469          5                   
C         10469          7                   
D         10470          20                  
A         10470          4                   
B         10475          8                   
A         10476          1                   
C         10477          10                  
A         10481          5                   
D         10482          19                  
B         10483          5                   
A         10486          5                   
C         10488          7                   
B         10490          4                   
D         10492          13                  
A         10492          3                   
A         10497          3                   
C         10497          7                   
B         10497          2                   
D         10500          12                  
A         10502          1                   
B         10504          2                   
